model,train_rows,pos_rate_train,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,model_path
native_class_weight_balanced,94969,0.37168970927355244,0.8519142484100577,0.7818239728208939,0.8344475920679887,0.8072791054593291,0.934475647230355,12863,2055,1461,7364,models\balancing_experiment_binary_full\native_class_weight_balanced.joblib
native_scale_pos_weight,94969,0.37168970927355244,0.8504822473992335,0.7785993450934826,0.8352407932011331,0.8059260879072818,0.9345006944478731,12822,2096,1454,7371,models\balancing_experiment_binary_full\native_scale_pos_weight.joblib
native_is_unbalance,94969,0.37168970927355244,0.8504822473992335,0.7785993450934826,0.8352407932011331,0.8059260879072818,0.9345006944478731,12822,2096,1454,7371,models\balancing_experiment_binary_full\native_is_unbalance.joblib
native_random_undersample,70598,0.5,0.8495135408330876,0.7772381756756757,0.8342209631728046,0.8047220855878012,0.9333958785838505,12808,2110,1463,7362,models\balancing_experiment_binary_full\native_random_undersample.joblib
native_random_oversample,119340,0.5,0.8496820115402435,0.7793367346938775,0.8308215297450425,0.8042560193056546,0.9330540552755442,12842,2076,1493,7332,models\balancing_experiment_binary_full\native_random_oversample.joblib
native_scale_pos_weight_sqrt,94969,0.37168970927355244,0.8555363686139072,0.8108793361760978,0.7972804532577904,0.8040223974402926,0.9339557323187343,13277,1641,1789,7036,models\balancing_experiment_binary_full\native_scale_pos_weight_sqrt.joblib
native_no_balance,94969,0.37168970927355244,0.8564629575032641,0.8403065711772836,0.7578470254957507,0.7969494756911344,0.9342394551973832,13647,1271,2137,6688,models\balancing_experiment_binary_full\native_no_balance.joblib
