number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
16,0.8248654242762159,2026-05-31 14:46:27.249285,2026-05-31 14:46:51.602878,0 days 00:00:24.353593,balanced,0.9924138830890543,0.05647591864119495,16,140,0.4166497460312325,1300,136,9.818423787664185e-06,3.658460509749842e-05,0.8849329385726933,0.866038684164109,0.8248654242762159,0.8016303543042952,0.8494988958722609,0.9437933735394055,COMPLETE
17,0.8286005253326847,2026-05-31 14:46:51.621556,2026-05-31 14:48:00.568907,0 days 00:01:08.947351,balanced,0.6712641320630133,0.0249597202800098,14,120,0.15398354835119885,1900,208,0.00016963068460383886,0.0035128414874586763,0.7828111967634739,0.8699811970701394,0.8286005253326847,0.8116325481107521,0.8462997565256781,0.9457338888115602,COMPLETE
18,0.8275074953729306,2026-05-31 14:48:00.595517,2026-05-31 14:49:05.427279,0 days 00:01:04.831762,balanced,0.6552574240689906,0.023172659533104482,14,120,0.173389711057562,1800,216,0.00037024014643026785,0.006101318011831723,0.7726657281619702,0.8688562772214982,0.8275074953729306,0.8088241653807641,0.8470924636204065,0.9454978868366285,COMPLETE
19,0.828539614187537,2026-05-31 14:49:05.445888,2026-05-31 14:50:15.742762,0 days 00:01:10.296874,balanced,0.6513811657763247,0.02142260706114638,16,120,0.17167636673965464,1800,224,0.1831629426289818,0.015491212212904898,0.7432676552169944,0.8698760654927545,0.828539614187537,0.8112343658443847,0.8466111771700356,0.9454693629123652,COMPLETE
20,0.8270444570620272,2026-05-31 14:50:15.760855,2026-05-31 14:51:09.850294,0 days 00:00:54.089439,balanced,0.6962588970049589,0.017411363244986548,16,80,0.31696757234235184,1200,256,0.17699817899671394,0.05294054339532663,0.7419067306954842,0.8682570089594538,0.8270444570620272,0.8069376354132275,0.8481965913594927,0.9452575216067395,COMPLETE
21,0.8287062523200227,2026-05-31 14:51:09.866468,2026-05-31 14:52:21.549015,0 days 00:01:11.682547,balanced,0.6508210350981951,0.02456233249294694,16,120,0.15638297874008808,1800,224,0.07279679312151724,0.0031869249185641564,0.7624257122329756,0.8700968588161473,0.8287062523200227,0.8119722836986095,0.8461582016873338,0.9455531393969814,COMPLETE
22,0.827596294524808,2026-05-31 14:52:21.575033,2026-05-31 14:53:33.993323,0 days 00:01:12.418290,balanced,0.6912700759803678,0.02874670914766369,16,120,0.13615213125275444,1800,232,0.12783927417578847,0.0018358616030283719,0.729833965935458,0.8695711843494133,0.827596294524808,0.8127686698673767,0.8429873733084197,0.9453556044734454,COMPLETE
23,0.8256525863060539,2026-05-31 14:53:34.010440,2026-05-31 14:54:33.092361,0 days 00:00:59.081921,balanced,0.6617184608444362,0.015072024478372968,16,100,0.2231815637033503,1500,192,0.7970631768494225,0.15476800762521156,0.8072416285873447,0.8669638690370264,0.8256525863060539,0.804236711410832,0.8482532132948304,0.9446810132532569,COMPLETE
24,0.8247836350910487,2026-05-31 14:54:33.109251,2026-05-31 14:55:27.335167,0 days 00:00:54.225916,balanced,0.7014460837361285,0.02379471903876306,16,120,0.4304385650404294,1700,232,0.024820103869633636,0.006018109365965776,0.7406398688988912,0.8664382018654083,0.8247836350910487,0.8041627888741297,0.8464979332993602,0.9439897572093923,COMPLETE
25,0.8295865109857218,2026-05-31 14:55:27.346770,2026-05-31 14:56:53.119017,0 days 00:01:25.772247,balanced,0.7540772982742417,0.017188289228017125,-1,90,0.10297173747528443,1800,208,0.5472274043748346,0.036866638778430876,0.7086202780288013,0.8710430536236901,0.8295865109857218,0.8145006370773302,0.8452522507219298,0.9463846491959296,COMPLETE
26,0.8139793038160118,2026-05-31 14:56:53.140677,2026-05-31 14:57:33.558153,0 days 00:00:40.417476,balanced,0.7532377215649545,0.01567410558632454,-1,60,0.09745503597067229,1600,192,9.3048612807507,0.48284485740228955,0.6959388720646078,0.8568920631752155,0.8139793038160118,0.7868301493917657,0.8431006171790952,0.9387783598744531,COMPLETE
27,0.8255866835768332,2026-05-31 14:57:33.577380,2026-05-31 14:58:29.480038,0 days 00:00:55.902658,balanced,0.7638653403034409,0.028014039108213037,-1,90,0.2652753711064126,1400,176,0.001277905947970373,9.69326727782934,0.7999565171615718,0.8673213167980505,0.8255866835768332,0.8065166248598551,0.8455919823339562,0.9444412696005468,COMPLETE
28,0.807858678586599,2026-05-31 14:58:29.498697,2026-05-31 14:58:48.608257,0 days 00:00:19.109560,balanced,0.7110902886722632,0.018448769038062567,4,50,0.35423005858731715,1900,16,0.025414852593531562,0.0017521319122661449,0.7620214478867081,0.8508258527471049,0.807858678586599,0.7743252104166686,0.8444595436272011,0.9348608032130362,COMPLETE
29,0.8182180058999263,2026-05-31 14:58:48.629024,2026-05-31 14:59:19.527434,0 days 00:00:30.898410,balanced,0.6747661986379686,0.013113547224987273,12,180,0.10846833020697322,1100,208,0.49427246344114656,0.04986068034318578,0.7195545275852726,0.8602353104719711,0.8182180058999263,0.7913513395196857,0.8470075307174,0.9412643762901629,COMPLETE
30,0.8279249161355193,2026-05-31 14:59:19.538404,2026-05-31 15:00:26.869518,0 days 00:01:07.331114,balanced,0.7221342238757762,0.027478109123843884,-1,90,0.2376400365972675,1600,184,1.3427606285157528e-06,1.2283267045795911,0.670151014826941,0.8699181225007783,0.8279249161355193,0.8136621998567323,0.8427042636317309,0.9450793937474681,COMPLETE
31,0.8285924530288807,2026-05-31 15:00:26.888081,2026-05-31 15:01:41.649656,0 days 00:01:14.761575,balanced,0.6807326547430635,0.02000654039778093,16,110,0.10703767552453494,1800,216,0.5352137769503201,0.019959560838671925,0.7484262546316073,0.8699286350948032,0.8285924530288807,0.8113591468129936,0.8465828662023668,0.9460663363998026,COMPLETE
32,0.8274839487669627,2026-05-31 15:01:41.668723,2026-05-31 15:02:56.773540,0 days 00:01:15.104817,balanced,0.6818942372713508,0.01883765014018114,16,100,0.09619088431015821,1900,248,1.5673654785194675,0.10220372555328487,0.7009231920784648,0.8688037062930647,0.8274839487669627,0.8085881433986181,0.8472906403940886,0.9453524947932482,COMPLETE
33,0.8111454390147674,2026-05-31 15:02:56.789196,2026-05-31 15:03:25.507445,0 days 00:00:28.718249,balanced,0.6751036907336615,0.014532434504870769,8,110,0.31403140627501874,1700,200,6.7503491226406895,0.013984243939773081,0.7595527130234481,0.8542111524095376,0.8111454390147674,0.7815748335247624,0.8430723062114263,0.9369117731058444,COMPLETE
34,0.8265411810152165,2026-05-31 15:03:25.524750,2026-05-31 15:04:59.180533,0 days 00:01:33.655783,,0.7152391493185389,0.03144121405141806,-1,110,0.09232935584567971,1900,240,0.025800038003941313,0.0013708027882741343,0.7132858900751032,0.8745860531391716,0.8265411810152165,0.8496983247749004,0.8046260121170942,0.9451612274024388,COMPLETE
35,0.7931200525037972,2026-05-31 15:04:59.199100,2026-05-31 15:05:13.817704,0 days 00:00:14.618604,balanced,0.7432927881678684,0.010039344243328705,4,70,0.22966642605585724,1500,216,1.6371863906434576,0.0027866978884361184,0.8056634106659137,0.8400706745550881,0.7931200525037972,0.7631758816200916,0.8255195062567239,0.9262796338807305,COMPLETE
36,0.8252812870107852,2026-05-31 15:05:13.837505,2026-05-31 15:05:35.802389,0 days 00:00:21.964884,balanced,0.6514268421257393,0.04616181926939425,16,10,0.7166858581350684,900,176,0.0011030047988397605,1.0581761344362963,0.6921136615922019,0.8670690165310284,0.8252812870107852,0.8061097544044266,0.8453938055602741,0.9441827534971395,COMPLETE
37,0.8105427571605056,2026-05-31 15:05:35.812160,2026-05-31 15:05:57.601095,0 days 00:00:21.788935,,0.832335298360007,0.023718432747844964,6,130,0.34876005742032556,1600,208,0.6696364441780283,0.00048316656653012976,0.7579107148402475,0.8651450383996512,0.8105427571605056,0.8473440141735274,0.7768246418662589,0.94006350670069,COMPLETE
38,0.8272241202041396,2026-05-31 15:05:57.619751,2026-05-31 15:06:46.185666,0 days 00:00:48.565915,balanced,0.6901454463785259,0.03304269938147567,10,110,0.1971480173088952,1900,128,0.046349931358272506,0.024453861007349552,0.7946852681246942,0.8683306044127447,0.8272241202041396,0.8067327813468631,0.8487911216805392,0.9452623613217588,COMPLETE
39,0.8134962941412619,2026-05-31 15:06:46.201249,2026-05-31 15:07:11.257694,0 days 00:00:25.056445,,0.7245854929718791,0.019863432036282106,8,30,0.6422089922261306,1400,240,0.3908699373342852,1.9389491198788769,0.8221042316910477,0.867342336017369,0.8134962941412619,0.8510959487973627,0.779089519279769,0.9408824852216219,COMPLETE
40,0.8233117348853373,2026-05-31 15:07:11.278095,2026-05-31 15:08:03.121785,0 days 00:00:51.843690,balanced,0.6689716463799124,0.01673296500013393,12,90,0.1353556272378309,1700,200,2.951288450871281,0.21441667919430893,0.7287905034793036,0.8647665770564438,0.8233117348853373,0.7996644039023021,0.8484230791008436,0.9435317233972258,COMPLETE
41,0.8279284091780376,2026-05-31 15:08:03.149146,2026-05-31 15:09:13.081879,0 days 00:01:09.932733,balanced,0.6535278693340303,0.021058858531563862,16,130,0.14893064356988395,1800,224,0.26787878585868685,0.010117230946750088,0.7439004715275217,0.8691716729484414,0.8279284091780376,0.8092066343034907,0.8475454391031084,0.945532891421034,COMPLETE
42,0.827456739558739,2026-05-31 15:09:13.096977,2026-05-31 15:10:24.585614,0 days 00:01:11.488637,balanced,0.7039630704448414,0.013310084409506219,16,130,0.06742995596331998,1800,224,0.012586320922825843,0.034523348296187584,0.6508808106255635,0.8683621395420502,0.827456739558739,0.8061088469736427,0.8499801823226317,0.9459869149100603,COMPLETE
43,0.827126571239298,2026-05-31 15:10:24.603142,2026-05-31 15:11:31.605036,0 days 00:01:07.001894,balanced,0.6772702853443509,0.026366545445782808,16,110,0.274926302297427,1900,216,0.06540681591497631,0.01850677774072054,0.782141902473142,0.8687511390121894,0.827126571239298,0.8095344389649508,0.8455070494309496,0.9447751845247224,COMPLETE
44,0.8291078429563913,2026-05-31 15:11:31.622068,2026-05-31 15:12:44.134068,0 days 00:01:12.512000,balanced,0.6671743014738551,0.03644472274459887,16,70,0.04134945282323277,1700,248,1.739303493836578,0.0001855378750999094,0.7129821372134896,0.871148183543094,0.8291078429563913,0.8168771376313405,0.8417133797633203,0.9454940906274935,COMPLETE
45,0.8186199038927816,2026-05-31 15:12:44.165733,2026-05-31 15:13:07.728289,0 days 00:00:23.562556,,0.7409648691124959,0.03610529805315651,6,70,0.0419488533883243,1600,256,1.4994806331482302,5.228151632487521e-06,0.7135437598951029,0.8701599078526021,0.8186199038927816,0.8505386510199221,0.789026668931544,0.9433775969358251,COMPLETE
46,0.827480905172043,2026-05-31 15:13:07.749620,2026-05-31 15:14:32.192918,0 days 00:01:24.443298,balanced,0.6877671729729834,0.055134345124278394,14,80,0.048664239378601114,2000,240,0.00021995519633275792,0.00012178360401989557,0.8738112145347415,0.8713689519967728,0.827480905172043,0.824291608703772,0.830700413340128,0.9449830825423206,COMPLETE
47,0.8165753518823339,2026-05-31 15:14:32.211460,2026-05-31 15:14:54.247028,0 days 00:00:22.035568,balanced,0.6680385982036146,0.04707093868219594,-1,70,0.4828076025853523,1500,112,5.528086557078313,0.0004891693812902098,0.6813767769107199,0.8590052484348668,0.8165753518823339,0.7899159853245289,0.8451106958835853,0.9396815675283023,COMPLETE
48,0.8077130822013987,2026-05-31 15:14:54.278649,2026-05-31 15:15:09.704828,0 days 00:00:15.426179,balanced,0.7719229203518091,0.03433320690251488,4,50,0.9620007090596054,1700,72,2.7543410930226897,9.248166627946286e-05,0.7618014926792017,0.8508153341843484,0.8077130822013987,0.774676886278154,0.8437234584678105,0.9344335718416672,COMPLETE
49,0.8296443989152252,2026-05-31 15:15:09.738070,2026-05-31 15:15:50.066036,0 days 00:00:40.327966,balanced,0.8959435311453247,0.024897165374806338,14,100,0.13062327962947096,1000,248,4.7679497115423216e-05,0.00360962151254299,0.728011391108276,0.8701914698411989,0.8296443989152252,0.8091960165903892,0.8511692429647245,0.9464672472428451,COMPLETE
50,0.823810260612634,2026-05-31 15:15:50.094225,2026-05-31 15:16:18.831061,0 days 00:00:28.736836,,0.8969899252859894,0.030652306854839873,14,90,0.20603479976820713,700,248,8.696486097948629e-05,1.1858119579591492e-05,0.7254493622100051,0.8738501082225513,0.823810260612634,0.8557564850720359,0.7941792650472793,0.9456552367764819,COMPLETE
51,0.8295652042590036,2026-05-31 15:16:18.850202,2026-05-31 15:16:58.665354,0 days 00:00:39.815152,balanced,0.8164809886018319,0.024947409958899297,14,100,0.12326143913889946,1000,248,1.1949001174570546e-05,0.00498218797569409,0.7508897871844744,0.8701704287365318,0.8295652042590036,0.8093532289211893,0.850829511352698,0.9464882465806911,COMPLETE
52,0.830898375992745,2026-05-31 15:16:58.686431,2026-05-31 15:17:43.591204,0 days 00:00:44.904773,balanced,0.8282505298293721,0.025719055241059902,14,100,0.024908923684895126,1100,248,7.73649835836055e-06,0.0034332870307860375,0.705320179692767,0.8714740882165043,0.830898375992745,0.8123619866911165,0.8503199139346583,0.9472817870346072,COMPLETE
53,0.8304107004325657,2026-05-31 15:17:43.618722,2026-05-31 15:18:24.396799,0 days 00:00:40.778077,balanced,0.8220328745594125,0.04071723378176638,14,100,0.03268964244118949,1000,256,6.800824242619146e-06,0.0006101380134310662,0.683700182196491,0.8716002479663048,0.8304107004325657,0.8149122298240896,0.846526244267029,0.9468578131159474,COMPLETE
54,0.8315087338843017,2026-05-31 15:18:24.406504,2026-05-31 15:19:05.601522,0 days 00:00:41.195018,balanced,0.8088264189139359,0.04242797278343924,14,100,0.010531392439008328,1000,256,2.7221244841633876e-06,0.0007938164000716758,0.6807088738215652,0.8725359520651711,0.8315087338843017,0.8166334231368152,0.8469509087820621,0.9470554582035932,COMPLETE
55,0.8310299103319799,2026-05-31 15:19:05.628097,2026-05-31 15:19:46.226045,0 days 00:00:40.597948,balanced,0.8199706654075486,0.041316236851957434,14,100,0.005348189286620831,1000,256,2.093026446992359e-06,0.0007044797386204447,0.6774355103020717,0.8720838800152477,0.8310299103319799,0.8156031342801389,0.8470641526527376,0.9471034240334556,COMPLETE
56,0.8317108974253539,2026-05-31 15:19:46.250862,2026-05-31 15:20:30.755518,0 days 00:00:44.504656,balanced,0.8399389719233057,0.04303643549013519,14,80,0.00792602266388108,1000,256,1.2788909138358948e-06,0.00103486181363299,0.6696417438998639,0.8732193214110112,0.8317108974253539,0.8201542525200654,0.843610214597135,0.9473590961007837,COMPLETE
57,0.8331706684028655,2026-05-31 15:20:30.780567,2026-05-31 15:21:06.078405,0 days 00:00:35.297838,balanced,0.8365793702978152,0.04259142857881616,14,80,0.00100646630835333,800,256,1.3068011989147187e-06,0.0006089306972587648,0.6695457670708723,0.8737975518843503,0.8331706684028655,0.8182813082015804,0.8486212558745257,0.9476342703557051,COMPLETE
58,0.8325859999776745,2026-05-31 15:21:06.106720,2026-05-31 15:21:42.731140,0 days 00:00:36.624420,balanced,0.8373038822390209,0.0415878176229881,14,80,0.0018741565150705217,800,256,1.3047002486104075e-06,5.468325221756207e-05,0.6519948629667025,0.8733034238211919,0.8325859999776745,0.8173933388036652,0.8483664571655058,0.9477440025552872,COMPLETE
59,0.8318821586410842,2026-05-31 15:21:42.750157,2026-05-31 15:22:18.594120,0 days 00:00:35.843963,balanced,0.8444988698098773,0.06377789874347174,14,80,0.008409852251966778,800,256,2.230499060185629e-07,3.2103212930889857e-07,0.6561990519479393,0.8735977890545463,0.8318821586410842,0.8218947215921073,0.8421380442783534,0.9465216515897293,COMPLETE
60,0.8316975531877153,2026-05-31 15:22:18.614175,2026-05-31 15:22:56.841853,0 days 00:00:38.227678,balanced,0.8442613601731173,0.06309546423464242,14,60,4.058085816511549e-05,800,256,1.377398382713374e-07,4.924451474445063e-07,0.6504518686667565,0.8739972924972094,0.8316975531877153,0.8251371221249203,0.838372685578393,0.9469826027287782,COMPLETE
61,0.8315648789981324,2026-05-31 15:22:56.859474,2026-05-31 15:23:33.313307,0 days 00:00:36.453833,balanced,0.8469228461828515,0.06263329348129403,14,60,0.002709679046259842,800,232,9.430110952481382e-08,9.902381688666347e-08,0.6542918983036047,0.8738080671311449,0.8315648789981324,0.8244442153796104,0.838825661061095,0.9469183450176274,COMPLETE
62,0.8306520106345872,2026-05-31 15:23:33.331932,2026-05-31 15:24:04.400949,0 days 00:00:31.069017,balanced,0.8458341423481999,0.05950939150307214,14,60,0.0635767643929166,700,232,1.7404582879847986e-07,1.68873369199066e-07,0.6506832930073095,0.872599028292513,0.8306520106345872,0.8202043947966736,0.8413736481512939,0.9464267199786462,COMPLETE
63,0.8301180080128973,2026-05-31 15:24:04.417483,2026-05-31 15:24:40.780419,0 days 00:00:36.362936,balanced,0.803113536837085,0.08472549575396449,14,80,0.0005280333305129423,800,240,1.4405387754263503e-08,1.2491349598277924e-07,0.6620863970559043,0.8729669853316003,0.8301180080128973,0.8245556277941891,0.8357680765528565,0.9461082975776237,COMPLETE
64,0.8325151243572906,2026-05-31 15:24:40.809038,2026-05-31 15:25:04.919213,0 days 00:00:24.110175,balanced,0.8740095885431178,0.06146769331691668,14,50,0.00270693934300314,500,256,3.145998026268803e-07,8.649465817738742e-07,0.6616316107364604,0.8736819063865555,0.8325151243572906,0.8200113866897486,0.845422116527943,0.9479300928701089,COMPLETE
65,0.8318436750236451,2026-05-31 15:25:04.939755,2026-05-31 15:25:23.546879,0 days 00:00:18.607124,balanced,0.8528027180900661,0.06244686344604915,14,50,0.07201766393145104,400,232,3.8689551289992923e-07,9.56213300020703e-07,0.6627748244252639,0.872577997467328,0.8318436750236451,0.815652794809464,0.8487061887775323,0.9470922059052467,COMPLETE
66,0.8292951759269428,2026-05-31 15:25:23.567541,2026-05-31 15:25:42.615336,0 days 00:00:19.047795,balanced,0.8708994508567913,0.09393242254558887,14,40,0.07177052456588551,400,240,3.2315671791536457e-07,7.701405776373966e-07,0.6670702058505147,0.8717684667137062,0.8292951759269428,0.8200393265807978,0.8387690391257573,0.9459356223461111,COMPLETE
67,0.8321503813264487,2026-05-31 15:25:42.633347,2026-05-31 15:26:05.938118,0 days 00:00:23.304771,balanced,0.8820297485822999,0.04909658685891088,14,50,0.07437663525945437,500,256,7.17580779271742e-07,1.282626728481847e-06,0.6633307613082315,0.8731246901585922,0.8321503813264487,0.8178985132384137,0.8469225978143933,0.947296051088573,COMPLETE
68,0.8327363657424414,2026-05-31 15:26:05.957465,2026-05-31 15:26:29.493839,0 days 00:00:23.536374,balanced,0.8814833539230206,0.04920467449239502,14,40,0.08456607975421783,500,240,6.816297931241391e-07,1.40672653724569e-06,0.6703901580423853,0.8736083182283808,0.8327363657424414,0.8187417800400175,0.8472340184587509,0.9473401448684305,COMPLETE
69,0.8298658273577083,2026-05-31 15:26:29.513551,2026-05-31 15:26:46.180608,0 days 00:00:16.667057,balanced,0.8839937845464505,0.04658773562377586,10,30,0.05473479603643977,500,232,4.745419254200529e-07,1.4375140843637221e-06,0.6620667908499333,0.8701178800250431,0.8298658273577083,0.8079800585851838,0.8529811448955327,0.9468115657837859,COMPLETE
70,0.8287643554697807,2026-05-31 15:26:46.200283,2026-05-31 15:27:00.884464,0 days 00:00:14.684181,balanced,0.9326886622389573,0.049678057145960824,14,50,0.08068152166074305,300,240,3.475693262264832e-08,2.6336135657276803e-08,0.6912289008084456,0.8694975842537755,0.8287643554697807,0.8081824727204441,0.8504331578053339,0.9466812083488644,COMPLETE
71,0.8329413609230659,2026-05-31 15:27:00.900258,2026-05-31 15:27:25.201323,0 days 00:00:24.301065,balanced,0.8781743271836717,0.0517380557007726,14,40,0.0756018119030866,500,256,1.055657966436999e-06,1.9528743732405e-06,0.6696335129077441,0.8740183216644137,0.8329413609230659,0.8205449368815899,0.8457335371723005,0.9474606226897847,COMPLETE
72,0.8303360662149096,2026-05-31 15:27:25.224670,2026-05-31 15:27:48.551359,0 days 00:00:23.326689,balanced,0.8579310816640991,0.05300073472919242,14,40,0.16989577972788425,500,248,8.503385539565201e-07,2.002049895821003e-06,0.6736592358930533,0.871915660604654,0.8303360662149096,0.8171157137161561,0.8440065681444991,0.9465915894488971,COMPLETE
73,0.8311845007188826,2026-05-31 15:27:48.572676,2026-05-31 15:28:07.580567,0 days 00:00:19.007891,balanced,0.8793243563908686,0.06626960861996488,14,40,0.08180088703782373,400,232,3.2848813459328983e-07,6.5434307328236625e-06,0.6613995531884306,0.872378246574987,0.8311845007188826,0.816850188124568,0.8460449578166581,0.9468673090012789,COMPLETE
74,0.8330872391223392,2026-05-31 15:28:07.596677,2026-05-31 15:28:35.224375,0 days 00:00:27.627698,balanced,0.9132718259512305,0.051285003592646754,14,30,0.03225071967145863,600,224,5.5667899125284925e-08,2.3139737158667568e-07,0.6980601674923529,0.8745229822173685,0.8330872391223392,0.8232098756868219,0.8432138610497706,0.9479655828627922,COMPLETE
75,0.8318001133566216,2026-05-31 15:28:35.232017,2026-05-31 15:29:02.522518,0 days 00:00:27.290501,balanced,0.9122370919081384,0.07796041466792042,14,20,0.03667777775824946,600,224,4.828972816753175e-08,3.0112797409827137e-06,0.6903143275415895,0.8746491396459956,0.8318001133566216,0.828990115868451,0.8346356378461016,0.946993564912856,COMPLETE
76,0.8289726509559779,2026-05-31 15:29:02.545679,2026-05-31 15:29:31.280973,0 days 00:00:28.735294,,0.9096698455087251,0.04934587075188257,14,30,0.12263875341960864,600,256,3.929698714002262e-06,2.790178694892589e-07,0.6994973430082149,0.8767412861221532,0.8289726509559779,0.8550974561350749,0.8043995243757432,0.9469722886288018,COMPLETE
