model,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,reg_alpha,reg_lambda,accuracy,precision,recall,f1,roc_auc,model_path
native_lgbm_256,220,0.06,127,8,20,0.75,0.9,1,0.0,0.0,0.8579370761908773,0.7908043524642628,0.84,0.814660146161877,0.9392883931687749,models\overfitting_experiment_binary_native\native_lgbm_256.joblib
native_lgbm_194,220,0.06,63,12,50,0.75,0.75,1,0.0,0.5,0.8576843701301436,0.7894960663406336,0.8414730878186969,0.8146563545609127,0.939431209782505,models\overfitting_experiment_binary_native\native_lgbm_194.joblib
native_lgbm_211,220,0.06,63,12,100,0.9,0.75,1,0.0,0.0,0.8578949585140884,0.7905960123680563,0.8402266288951842,0.8146561195341683,0.9396266958143611,models\overfitting_experiment_binary_native\native_lgbm_211.joblib
native_lgbm_215,220,0.06,63,12,100,0.9,0.9,1,0.0,0.5,0.8578528408372994,0.7906356655290102,0.84,0.8145706279874733,0.9394564127143397,models\overfitting_experiment_binary_native\native_lgbm_215.joblib
native_lgbm_261,220,0.06,127,8,20,0.9,0.75,1,0.0,2.0,0.8577264878069326,0.7900734902545532,0.8405665722379604,0.8145382672669376,0.9383724283875555,models\overfitting_experiment_binary_native\native_lgbm_261.joblib
native_lgbm_120,220,0.06,63,-1,20,0.9,0.9,1,0.0,2.0,0.8577686054837215,0.7904051172707889,0.8401133144475921,0.8145015105740181,0.9397569071642639,models\overfitting_experiment_binary_native\native_lgbm_120.joblib
native_lgbm_275,220,0.06,127,8,50,0.9,0.9,1,0.0,0.5,0.8572210756854652,0.7876574573938817,0.8431728045325779,0.814470227670753,0.9383620562949031,models\overfitting_experiment_binary_native\native_lgbm_275.joblib
native_lgbm_262,220,0.06,127,8,20,0.9,0.9,1,0.0,0.0,0.85743166406941,0.7888086642599278,0.8418130311614731,0.8144493778435564,0.9387053190111609,models\overfitting_experiment_binary_native\native_lgbm_262.joblib
native_lgbm_204,220,0.06,63,12,50,0.9,0.9,1,0.0,2.0,0.8575580170997767,0.7895520800085115,0.8409065155807366,0.8144205443371378,0.9390242561128314,models\overfitting_experiment_binary_native\native_lgbm_204.joblib
native_lgbm_266,220,0.06,127,8,50,0.75,0.75,1,0.0,0.5,0.8575158994229878,0.7893449595916632,0.8411331444759207,0.8144165889516705,0.9386793602952038,models\overfitting_experiment_binary_native\native_lgbm_266.joblib
native_lgbm_254,220,0.06,127,8,20,0.75,0.75,1,0.0,0.5,0.857389546392621,0.7889703538412496,0.8413597733711048,0.81432331651678,0.9394782355061304,models\overfitting_experiment_binary_native\native_lgbm_254.joblib
native_lgbm_139,220,0.06,63,-1,100,0.9,0.75,1,0.0,0.0,0.8576843701301436,0.7906083244397012,0.8394334277620397,0.814289640010992,0.9401367703407524,models\overfitting_experiment_binary_native\native_lgbm_139.joblib
native_lgbm_163,220,0.06,63,8,50,0.9,0.75,1,0.0,0.0,0.8571789580086763,0.7880619168787107,0.8422662889518414,0.8142630224023663,0.9379582055178318,models\overfitting_experiment_binary_native\native_lgbm_163.joblib
native_lgbm_277,220,0.06,127,8,100,0.75,0.75,1,0.0,0.0,0.8572210756854652,0.7885738557927153,0.8414730878186969,0.8141651134743997,0.9383841943132372,models\overfitting_experiment_binary_native\native_lgbm_277.joblib
native_lgbm_257,220,0.06,127,8,20,0.75,0.9,1,0.0,0.5,0.8576001347765657,0.7906877402819308,0.8389801699716714,0.814118423222827,0.9387754056452897,models\overfitting_experiment_binary_native\native_lgbm_257.joblib
native_lgbm_126,220,0.06,63,-1,50,0.75,0.9,1,0.0,2.0,0.857389546392621,0.7898326761163806,0.8397733711048159,0.8140377855887522,0.9400106683296449,models\overfitting_experiment_binary_native\native_lgbm_126.joblib
native_lgbm_258,220,0.06,127,8,20,0.75,0.9,1,0.0,2.0,0.8571368403318873,0.7885289431757834,0.8412464589235128,0.8140350877192982,0.938345964549547,models\overfitting_experiment_binary_native\native_lgbm_258.joblib
native_lgbm_280,220,0.06,127,8,100,0.75,0.9,1,0.0,0.0,0.8572210756854652,0.7890035095182388,0.8406798866855524,0.8140223831468071,0.9380778890607654,models\overfitting_experiment_binary_native\native_lgbm_280.joblib
native_lgbm_283,220,0.06,127,8,100,0.9,0.75,1,0.0,0.0,0.8571368403318873,0.7886515779407077,0.8410198300283286,0.8139942969949551,0.938576809125011,models\overfitting_experiment_binary_native\native_lgbm_283.joblib
native_lgbm_281,220,0.06,127,8,100,0.75,0.9,1,0.0,0.5,0.8568841342711536,0.7873557132267288,0.8424929178470255,0.8139916794394569,0.938002834760145,models\overfitting_experiment_binary_native\native_lgbm_281.joblib
native_lgbm_137,220,0.06,63,-1,100,0.75,0.9,1,0.0,0.5,0.8571789580086763,0.7889196086771586,0.8406798866855524,0.8139777277963685,0.9395815386625357,models\overfitting_experiment_binary_native\native_lgbm_137.joblib
native_lgbm_175,220,0.06,63,8,100,0.9,0.75,1,0.0,0.0,0.8567156635639979,0.7866582091130141,0.8431728045325779,0.8139356814701378,0.9372417563511501,models\overfitting_experiment_binary_native\native_lgbm_175.joblib
native_lgbm_284,220,0.06,127,8,100,0.9,0.75,1,0.0,0.5,0.8570947226550983,0.7886291179596174,0.8409065155807366,0.8139292569234987,0.9381769499515197,models\overfitting_experiment_binary_native\native_lgbm_284.joblib
native_lgbm_276,220,0.06,127,8,50,0.9,0.9,1,0.0,2.0,0.8568420165943647,0.7876988335100742,0.841699716713881,0.8138044371405094,0.9378590876584251,models\overfitting_experiment_binary_native\native_lgbm_276.joblib
native_lgbm_255,220,0.06,127,8,20,0.75,0.75,1,0.0,2.0,0.8567998989175757,0.7878594927305529,0.8412464589235128,0.8136782113108286,0.9386033869003243,models\overfitting_experiment_binary_native\native_lgbm_255.joblib
native_lgbm_264,220,0.06,127,8,20,0.9,0.9,1,0.0,2.0,0.8570104873015204,0.7892606008949499,0.8394334277620397,0.813574213387513,0.938153554824922,models\overfitting_experiment_binary_native\native_lgbm_264.joblib
native_lgbm_203,220,0.06,63,12,50,0.9,0.9,1,0.0,0.5,0.8570104873015204,0.7906229929351317,0.8369405099150141,0.8131226949964221,0.9391755534599532,models\overfitting_experiment_binary_native\native_lgbm_203.joblib
native_lgbm_267,220,0.06,127,8,50,0.75,0.75,1,0.0,2.0,0.8562944867961083,0.787283727842055,0.8404532577903683,0.8130001096130659,0.9381059556168623,models\overfitting_experiment_binary_native\native_lgbm_267.joblib
